samples	Arthrobacter	Bacillus	Curtobacterium	Massilia	Methylobacterium-Methylorubrum	Pantoea	Pseudomonas
BJ1-L	0.022210286	0.055700448	0.007382713	0.057522219	0.024064506	0.024250494	0.025156115
BJ2-L	0.021926738	0.064453304	0.005960413	0.021602585	0.021197455	0.008806539	0.010053681
BJ3-L	0.023494972	0.060058188	0.008272392	0.095951045	0.040659735	0.019667792	0.018634805
BJ4-L	0.030020773	0.076392363	0.011638094	0.029715208	0.017533497	0.031418719	0.024363078
BJ5-L	0.025088503	0.01540559	0.005979782	0.025976623	0.024586701	0.022109681	0.06406371
BJ6-L	0.020966428	0.016210754	0.004467221	0.017442248	0.023766995	0.016692065	0.035859223
LC1-L	0.021430096	0.1081471	0.009287506	0.046080204	0.009545488	0.034452853	0.015689485
LC2-L	0.015620793	0.097764296	0.01140719	0.06436445	0.029413191	0.013887513	0.016332173
LC3-L	0.009787713	0.512757801	0.012391602	0.008506211	0.006967097	0.013825939	0.010037223
LC4-L	0.023802736	0.146709769	0.024707237	0.076969731	0.019964579	0.028154666	0.033438525
LC5-L	0.022085137	0.227276501	0.022392306	0.018537266	0.011023201	0.040374748	0.008015831
LC6-L	0.018502011	0.435539077	0.011953327	0.007827989	0.014122951	0.046869893	0.041810445
S1-L	0.014394707	0.028014485	0.015619959	0.076716786	0.038110809	0.083629826	0.036883207
S2-L	0.020698966	0.016245532	0.024603801	0.041018103	0.026324239	0.029855377	0.041238544
S3-L	0.014139965	0.04320929	0.012510158	0.066382622	0.059168344	0.055687879	0.036719778
S4-L	0.008611718	0.041037116	0.010788416	0.043580583	0.025740006	0.051865651	0.037880525
S5-L	0.006076381	0.025931157	0.01905885	0.085423742	0.029755684	0.060339502	0.056970732
S6-L	0.02141173	0.049369501	0.013770885	0.017450316	0.035371313	0.150014655	0.05468611
TH1-L	0.036394187	0.058048215	0.015236952	0.090465306	0.046489258	0.033367571	0.019108524
TH2-L	0.028103534	0.056279887	0.014146012	0.015321473	0.025532021	0.107333036	0.026570009
TH3-L	0.005661195	0.020093273	0.004755744	0.009727957	0.014233723	0.01762637	0.049076884
TH4-L	0.021338194	0.046973777	0.009006378	0.023629288	0.006148091	0.03772109	0.022952145
TH5-L	0.024321221	0.046889146	0.007792095	0.027063131	0.009451323	0.04002057	0.032086031
TH6-L	0.024430163	0.09632064	0.009069599	0.033551798	0.021639493	0.054312599	0.017704133
TY1-L	0.011137215	0.004522031	0.005003889	0.103094526	0.029832006	0.008244313	0.014173914
TY2-L	0.011464215	0.005274201	0.00554124	0.057545975	0.030255041	0.020094004	0.021583891
TY3-L	0.015023355	0.008414933	0.007800254	0.072220791	0.030797103	0.013884616	0.023124171
TY4-L	0.013988328	0.007650986	0.004029816	0.044332177	0.027647093	0.006872737	0.010488318
TY5-L	0.010306227	0.007123736	0.004895355	0.050544717	0.038543774	0.018948361	0.03966089
TY6-L	0.010256806	0.00508552	0.004899184	0.106086263	0.033691568	0.033062347	0.026476236
YL1-L	0.015514834	0.038307458	0.006827338	0.048862137	0.020072026	0.025487292	0.036673379
YL2-L	0.015355422	0.051179384	0.009939849	0.080692487	0.028924464	0.01771282	0.037531137
YL3-L	0.019683949	0.064376376	0.00949044	0.034146989	0.012807169	0.017791354	0.03358426
YL4-L	0.02206924	0.059120767	0.015047727	0.047288902	0.028362552	0.022239228	0.030760695
YL5-L	0.017619712	0.052497571	0.004517342	0.028941594	0.021071141	0.012858286	0.026940953
YL6-L	0.011106669	0.080262945	0.007954826	0.042882619	0.019232107	0.019387095	0.029556468
ZZ1-L	0.027711382	0.02124378	0.006895374	0.114230245	0.020712943	0.019596666	0.037780383
ZZ2-L	0.01879324	0.06143112	0.005813182	0.05301639	0.036156415	0.009367215	0.025418782
ZZ3-L	0.019474369	0.04240426	0.00604724	0.108815477	0.032494879	0.010728065	0.032815185
ZZ4-L	0.033202981	0.032473811	0.00953046	0.075346841	0.017408635	0.011763714	0.052100833
ZZ5-L	0.020378483	0.022318876	0.006599509	0.01786063	0.025859053	0.032813149	0.231758087
ZZ6-L	0.036504286	0.031496678	0.011342368	0.029832526	0.017147975	0.010391422	0.026316263
