sample-id	pH	NO3--N (mg/kg)	NH4-N (mg/kg)	AK (g/kg)	AP (mg/kg)	TK (g/kg)	TP (g/kg)	TN (g/kg)	SOC (g/kg)	C/N	Altitude (m)	Longitude	Latitude	2021MAT	2021AT	2021RH	2021MAP	2021AS	2021AR
BJ1-L	8.37	2.413984462	0.696448391	122.2291741	10.94133697	16.2369338	0.495810105	0.048	0.3092	6.4451	40.32	116.178692	39.773688	11.71860465	1956.3	47.36627907	0.553488372	1161.3	3061.906
BJ2-L	8.52	1.804874572	0.52809293	122.2291741	9.577080491	16.36567164	0.530140547	0.0504	0.5443	10.7951	40.05	116.178484	39.773677	11.71860465	1956.3	47.36627907	0.553488372	1161.3	3061.906
BJ3-L	8.44	5.643509166	1.270493827	150.8312478	17.69440655	16.02442672	0.598745015	0.0687	0.9559	13.9054	41.99	116.178801	39.773987	11.71860465	1956.3	47.36627907	0.553488372	1161.3	3061.906
BJ4-L	8.48	2.361706783	1.247676878	190.159099	12.85129604	19.335	0.56529125	0.0463	0.8219	17.7529	41.86	116.178454	39.774191	11.71860465	1956.3	47.36627907	0.553488372	1161.3	3061.906
BJ5-L	8.35	9.117357911	1.364706221	272.3900608	26.83492497	21.11970075	0.679966334	0.1054	0.9142	8.6731	40.94	116.16808	39.760867	11.71860465	1956.3	47.36627907	0.553488372	1161.3	3061.906
BJ6-L	8.38	7.31978595	2.122829308	175.8580622	16.26193724	18.035	0.64016625	0.0913	0.8349	9.1476	33.1	116.186046	39.759921	11.71860465	1956.3	47.36627907	0.553488372	1161.3	3061.906
LC1-L	9	14.20179264	2.54857823	208.0353951	14.21555252	22.87367326	0.719900498	0.127	1.1233	8.8435	38.88	114.690762	37.890718	13.09222222	2223.7	52.93333333	0.497222222	1191.7	3180.545
LC2-L	9.14	30.8563469	3.615876219	193.7343582	21.58253752	15.44576451	0.707603802	0.1856	1.616	8.7087	44.7	114.689705	37.891045	13.09222222	2223.7	52.93333333	0.497222222	1191.7	3180.545
LC3-L	9.11	26.01138566	2.807317136	218.7611727	35.77080491	15.98455707	1.309190809	0.1547	1.4808	9.5732	45.58	114.689544	37.8913	13.09222222	2223.7	52.93333333	0.497222222	1191.7	3180.545
LC4-L	9.1	42.96875	4.505291211	240.2127279	13.26057299	15.2347201	0.620079721	0.1294	1.1996	9.2682	51.14	114.690491	37.891514	13.09222222	2223.7	52.93333333	0.497222222	1191.7	3180.545
LC5-L	9.13	21.16642442	3.583533856	240.2127279	27.10777626	17.07431867	0.925972084	0.1017	1.1706	11.5153	42.84	114.689567	37.891457	13.09222222	2223.7	52.93333333	0.497222222	1191.7	3180.545
LC6-L	9.06	75.97504845	2.289839323	265.2395424	30.04092769	17.03637792	0.664260826	0.1048	0.9327	8.9022	43.14	114.689282	37.891583	13.09222222	2223.7	52.93333333	0.497222222	1191.7	3180.545
S1-L	9.12	10.11385659	5.701958654	250.9385055	17.14870396	15.82017103	0.693447932	0.1853	2.4971	13.4735	63.72	114.529025	38.026944	10.55911602	1773.6	47.10497238	0.920994475	1256.6	3177.874
S2-L	9.12	16.92708333	2.370695231	225.9116911	18.92223738	14.66304163	0.61525	0.1105	1.3518	12.2366	63.72	114.529025	38.026944	10.55911602	1773.6	47.10497238	0.920994475	1256.6	3177.874
S3-L	9.15	36.76114341	2.111956325	229.4869503	15.37517053	16.32223603	0.752743142	0.1591	1.7309	10.8797	63.72	114.529025	38.026944	10.55911602	1773.6	47.10497238	0.920994475	1256.6	3177.874
S4-L	9.11	23.28609496	4.650831846	225.9116911	15.92087312	17.95213735	0.578343313	0.1353	1.3278	9.8177	63.72	114.529025	38.026944	10.55911602	1773.6	47.10497238	0.920994475	1256.6	3177.874
S5-L	9.12	16.0186531	3.03371368	168.7075438	9.167803547	17.74368242	0.516458853	0.0964	0.7517	7.8021	63.72	114.529025	38.026944	10.55911602	1773.6	47.10497238	0.920994475	1256.6	3177.874
S6-L	9.09	32.8246124	2.661776501	311.717912	27.72169168	17.35992198	0.978222997	0.2345	2.0567	8.7703	63.72	114.529025	38.026944	10.55911602	1773.6	47.10497238	0.920994475	1256.6	3177.874
TH1-L	9.14	27.22262597	5.701958654	140.1054701	5.893587995	17.2393449	0.489552239	0.0895	0.9909	11.0746	340.8	114.249044	37.903369	13.60607735	2273.1	50.50828729	0.451933702	1195.4	3173.428
TH2-L	9.11	20.86361434	2.370695231	107.9281373	3.506139154	19.17384624	0.276394422	0.1038	1.0834	10.4375	349.18	114.248985	37.904141	13.60607735	2273.1	50.50828729	0.451933702	1195.4	3173.428
TH3-L	9.07	16.77567829	2.111956325	304.5673936	13.19236016	17.8149118	0.563498004	0.2738	3.6639	13.3798	348.58	114.248981	37.904145	13.60607735	2273.1	50.50828729	0.451933702	1195.4	3173.428
TH4-L	9.13	36.15552326	4.650831846	211.6106543	36.18008186	15.78935759	0.798676985	0.1628	1.3663	8.3925	348.55	114.248661	37.904246	13.60607735	2273.1	50.50828729	0.451933702	1195.4	3173.428
TH5-L	9.12	21.01501938	3.03371368	200.8848767	30.99590723	17.51297674	0.828358209	0.1307	1.1613	8.8867	352.47	114.248718	37.904323	13.60607735	2273.1	50.50828729	0.451933702	1195.4	3173.428
TH6-L	9.06	46.60247093	2.661776501	268.8148016	22.6739427	19.54735222	0.764566733	0.3676	4.0902	11.1259	347.48	114.249027	37.904325	13.60607735	2273.1	50.50828729	0.451933702	1195.4	3173.428
TY1-L	8.26	11.23825199	1.992412032	283.1158384	9.577080491	9.706275935	0.677306733	0.2045	3.4842	17.0415	766.33	112.432521	37.681298	10.4160221	1730.3	48.22099448	0.770718232	1106	2805.101
TY2-L	8.19	10.78273879	2.671733918	279.5405792	10.94133697	9.885713055	0.735147279	0.1971	3.7287	18.921	766.33	112.432521	37.681298	10.4160221	1730.3	48.22099448	0.770718232	1106	2805.101
TY3-L	8.2	12.40893665	1.828327677	279.5405792	12.91950887	13.16895715	0.711644178	0.185	3.6657	19.813	766.33	112.432521	37.681298	10.4160221	1730.3	48.22099448	0.770718232	1106	2805.101
TY4-L	8.19	9.004278491	3.240956826	283.1158384	11.82810368	9.595368526	0.616699452	0.1331	2.9573	22.215	766.33	112.432521	37.681298	10.4160221	1730.3	48.22099448	0.770718232	1106	2805.101
TY5-L	8.2	10.03193512	3.152761931	286.6910976	11.07776262	9.957648231	0.750539362	0.1955	3.8588	19.7336	766.33	112.432521	37.681298	10.4160221	1730.3	48.22099448	0.770718232	1106	2805.101
TY6-L	8.17	10.53027744	3.801399276	286.6910976	11.69167804	9.652119701	0.701038653	0.1247	2.8707	23.0277	766.33	112.432521	37.681298	10.4160221	1730.3	48.22099448	0.770718232	1106	2805.101
YL1-L	8.18	12.25334088	2.156704417	186.5838398	5.961800819	19.90768463	0.911842565	0.1392	0.8927	6.4132	417.21	108.019417	34.25004	12.55303867	1966.7	66.54696133	1.206629834	570.3	3038.888
YL2-L	8.22	13.7839541	3.945193755	186.5838398	7.326057299	22.22527473	0.898018232	0.1291	0.8787	6.8049	417.21	108.019417	34.25004	12.55303867	1966.7	66.54696133	1.206629834	570.3	3038.888
YL3-L	8.28	12.5625576	2.81078725	179.4333214	6.984993179	20.03986049	0.926299203	0.1278	0.8593	6.7262	417.21	108.019417	34.25004	12.55303867	1966.7	66.54696133	1.206629834	570.3	3038.888
YL4-L	8.18	14.38153049	4.174436133	183.0085806	5.48431105	20.1145989	0.96304559	0.1302	0.82	6.2966	417.21	108.019417	34.25004	12.55303867	1966.7	66.54696133	1.206629834	570.3	3038.888
YL5-L	8.29	13.51769499	1.693818393	193.7343582	7.598908595	20.70785393	0.960896698	0.1374	0.8429	6.1335	417.21	108.019417	34.25004	12.55303867	1966.7	66.54696133	1.206629834	570.3	3038.888
