samples	province	group2	tissue	cluster5	cluster4	cluster8
TH1-L	Hebei	Taihang Mountain	Leaf	1	1	1
LC4-L	Hebei	Luancheng	Leaf	2	2	2
ZZ5-L	Henan	Zhengzhou	Leaf	3	2	3
S6-L	Hebei	Shijiazhuang	Leaf	2	2	2
ZZ6-L	Henan	Zhengzhou	Leaf	3	2	3
LC5-L	Hebei	Luancheng	Leaf	4	3	4
S3-L	Hebei	Shijiazhuang	Leaf	2	2	5
S5-L	Hebei	Shijiazhuang	Leaf	4	3	6
ZZ2-L	Henan	Zhengzhou	Leaf	3	2	3
S1-L	Hebei	Shijiazhuang	Leaf	4	3	4
ZZ4-L	Henan	Zhengzhou	Leaf	3	2	3
ZZ3-L	Henan	Zhengzhou	Leaf	3	2	3
TY5-L	Shanxi	Taiyuan	Leaf	5	4	7
ZZ1-L	Henan	Zhengzhou	Leaf	3	2	3
YL4-L	Shannxi	Yangling	Leaf	5	4	7
S2-L	Hebei	Shijiazhuang	Leaf	2	2	5
YL5-L	Shannxi	Yangling	Leaf	5	4	7
BJ3-L	Beijing	Fangshan	Leaf	1	1	8
LC3-L	Hebei	Luancheng	Leaf	4	3	4
TY6-L	Shanxi	Taiyuan	Leaf	2	2	5
YL6-L	Shannxi	Yangling	Leaf	5	4	7
YL1-L	Shannxi	Yangling	Leaf	5	4	7
BJ1-L	Beijing	Fangshan	Leaf	1	1	8
YL2-L	Shannxi	Yangling	Leaf	5	4	7
BJ2-L	Beijing	Fangshan	Leaf	1	1	8
LC2-L	Hebei	Luancheng	Leaf	2	2	2
S4-L	Hebei	Shijiazhuang	Leaf	4	3	6
BJ5-L	Beijing	Fangshan	Leaf	1	1	8
YL3-L	Shannxi	Yangling	Leaf	5	4	7
BJ6-L	Beijing	Fangshan	Leaf	1	1	8
BJ4-L	Beijing	Fangshan	Leaf	1	1	8
LC6-L	Hebei	Luancheng	Leaf	2	2	2
TY3-L	Shanxi	Taiyuan	Leaf	5	4	7
TH5-L	Hebei	Taihang Mountain	Leaf	4	3	4
TY2-L	Shanxi	Taiyuan	Leaf	5	4	7
TH6-L	Hebei	Taihang Mountain	Leaf	1	1	1
TY1-L	Shanxi	Taiyuan	Leaf	5	4	7
TY4-L	Shanxi	Taiyuan	Leaf	5	4	7
TH2-L	Hebei	Taihang Mountain	Leaf	1	1	1
TH4-L	Hebei	Taihang Mountain	Leaf	2	2	2
LC1-L	Hebei	Luancheng	Leaf	4	3	6
TH3-L	Hebei	Taihang Mountain	Leaf	1	1	1
