ID	7d_area(cm2)	group	order
CK107_1.1	0.765	CK	1
CK107_1.2	0.765	CK	1
CK107_1.3	0.849	CK	1
CK107_1.4	0.849	CK	1
CK107_1.5	1.698	CK	1
CK107_1.6	1.358	CK	1
CK107_1.7	0.174	CK	1
CK107_1.8	0.244	CK	1
CK107_1.9	0.322	CK	1
CK107_1.10	0.498	CK	1
CK107_2.1	0.283	CK	1
CK107_2.2	0.646	CK	1
CK107_2.3	0.406	CK	1
CK107_2.4	0.6	CK	1
CK107_2.5	0.772	CK	1
CK107_2.6	0.543	CK	1
CK107_2.7	0.319	CK	1
CK107_2.8	0.273	CK	1
CK107_2.9	0.739	CK	1
CK107_2.10	0.579	CK	1
CK107_3.1	0.591	CK	1
CK107_3.2	0.516	CK	1
CK107_3.3	0.957	CK	1
CK107_3.4	0.467	CK	1
CK107_3.5	0.452	CK	1
CK107_3.6	0.478	CK	1
CK107_3.7	0.594	CK	1
CK107_3.8	0.77	CK	1
CK107_3.9	0.696	CK	1
CK107_3.10	0.621	CK	1
CK107_4.1	0.697	CK	1
CK107_4.2	1.127	CK	1
CK107_4.3	1.105	CK	1
CK107_4.4	1.443	CK	1
CK107_4.5	0.631	CK	1
CK107_4.6	0.524	CK	1
CK107_4.7	0.679	CK	1
CK107_4.8	0.49	CK	1
CK107_4.9	1.407	CK	1
CK107_4.10	0.584	CK	1
Y107_1.1	0.574	YeastSynCom	3
Y107_1.2	0.307	YeastSynCom	3
Y107_1.3	0.65	YeastSynCom	3
Y107_1.4	0.65	YeastSynCom	3
Y107_1.5	0.638	YeastSynCom	3
Y107_1.6	0.121	YeastSynCom	3
Y107_1.7	0.239	YeastSynCom	3
Y107_1.8	0.093	YeastSynCom	3
Y107_1.9	0.4975	YeastSynCom	3
Y107_1.10	0.4975	YeastSynCom	3
Y107_2.1	0.194	YeastSynCom	3
Y107_2.2	0.095	YeastSynCom	3
Y107_2.3	0.043	YeastSynCom	3
Y107_2.4	0.076	YeastSynCom	3
Y107_2.5	0.228	YeastSynCom	3
Y107_2.6	0.29	YeastSynCom	3
Y107_2.7	0.254	YeastSynCom	3
Y107_2.8	0.218	YeastSynCom	3
Y107_2.9	0.175	YeastSynCom	3
Y107_2.10	0.113	YeastSynCom	3
Y107_3.1	0.106	YeastSynCom	3
Y107_3.2	0.159	YeastSynCom	3
Y107_3.3	0.161	YeastSynCom	3
Y107_3.4	0.167	YeastSynCom	3
Y107_3.5	0.117	YeastSynCom	3
Y107_3.6	0.071	YeastSynCom	3
Y107_3.7	0.055	YeastSynCom	3
Y107_3.8	0.104	YeastSynCom	3
Y107_3.9	0.218	YeastSynCom	3
Y107_3.10	0.113	YeastSynCom	3
Y107_4.1	0.093	YeastSynCom	3
Y107_4.2	0.051	YeastSynCom	3
Y107_4.3	0.078	YeastSynCom	3
Y107_4.4	0.063	YeastSynCom	3
Y107_4.5	0.053	YeastSynCom	3
Y107_4.6	0.055	YeastSynCom	3
Y107_4.7	0.102	YeastSynCom	3
Y107_4.8	0.12	YeastSynCom	3
Y107_4.9	0.073	YeastSynCom	3
Y107_4.10	0.318	YeastSynCom	3
BY107_1.1	0.061	BacYeastSynCom	4
BY107_1.2	0.07	BacYeastSynCom	4
BY107_1.3	0.065	BacYeastSynCom	4
BY107_1.4	0.062	BacYeastSynCom	4
BY107_1.5	0.211	BacYeastSynCom	4
BY107_1.6	0.046	BacYeastSynCom	4
BY107_1.7	0.396	BacYeastSynCom	4
BY107_1.8	0.181	BacYeastSynCom	4
BY107_1.9	0.365	BacYeastSynCom	4
BY107_1.10	0.07	BacYeastSynCom	4
BY107_2.1	0.078	BacYeastSynCom	4
BY107_2.2	0.158	BacYeastSynCom	4
BY107_2.3	0.077	BacYeastSynCom	4
BY107_2.4	0.047	BacYeastSynCom	4
BY107_2.5	0.054	BacYeastSynCom	4
BY107_2.6	0.058	BacYeastSynCom	4
BY107_2.7	0.196	BacYeastSynCom	4
BY107_2.8	0.401	BacYeastSynCom	4
BY107_2.9	0.209	BacYeastSynCom	4
BY107_2.10	0.193	BacYeastSynCom	4
BY107_3.1	0.166	BacYeastSynCom	4
BY107_3.2	0.11	BacYeastSynCom	4
BY107_3.3	0.047	BacYeastSynCom	4
BY107_3.4	0.081	BacYeastSynCom	4
BY107_3.5	0.081	BacYeastSynCom	4
BY107_3.6	0.074	BacYeastSynCom	4
BY107_3.7	0.132	BacYeastSynCom	4
BY107_3.8	0.204	BacYeastSynCom	4
BY107_3.9	0.276	BacYeastSynCom	4
BY107_3.10	0.21	BacYeastSynCom	4
BY107_4.1	0.084	BacYeastSynCom	4
BY107_4.2	0.112	BacYeastSynCom	4
BY107_4.3	0.085	BacYeastSynCom	4
BY107_4.4	0.09	BacYeastSynCom	4
BY107_4.5	0.08	BacYeastSynCom	4
BY107_4.6	0.219	BacYeastSynCom	4
BY107_4.7	0.055	BacYeastSynCom	4
BY107_4.8	0.097	BacYeastSynCom	4
BY107_4.9	0.155	BacYeastSynCom	4
BY107_4.10	0.076	BacYeastSynCom	4
B107_1.1	0.051	BacSynCom	5
B107_1.2	0.065	BacSynCom	5
B107_1.3	0.051	BacSynCom	5
B107_1.4	0.049	BacSynCom	5
B107_1.5	0.06	BacSynCom	5
B107_1.6	0.068	BacSynCom	5
B107_1.7	0.052	BacSynCom	5
B107_1.8	0.039	BacSynCom	5
B107_1.9	0.097	BacSynCom	5
B107_1.10	0.101	BacSynCom	5
B107_2.1	0.069	BacSynCom	5
B107_2.2	0.062	BacSynCom	5
B107_2.3	0.046	BacSynCom	5
B107_2.4	0.038	BacSynCom	5
B107_2.5	0.059	BacSynCom	5
B107_2.6	0.068	BacSynCom	5
B107_2.7	0.044	BacSynCom	5
B107_2.8	0.041	BacSynCom	5
B107_2.9	0.04	BacSynCom	5
B107_2.10	0.059	BacSynCom	5
B107_3.1	0.049	BacSynCom	5
B107_3.2	0.06	BacSynCom	5
B107_3.3	0.104	BacSynCom	5
B107_3.4	0.081	BacSynCom	5
B107_3.5	0.064	BacSynCom	5
B107_3.6	0.087	BacSynCom	5
B107_3.7	0.253	BacSynCom	5
B107_3.8	0.141	BacSynCom	5
B107_3.9	0.103	BacSynCom	5
B107_3.10	0.089	BacSynCom	5
B107_4.1	0.085	BacSynCom	5
B107_4.2	0.131	BacSynCom	5
B107_4.3	0.053	BacSynCom	5
B107_4.4	0.066	BacSynCom	5
B107_4.5	0.046	BacSynCom	5
B107_4.6	0.058	BacSynCom	5
B107_4.7	0.06	BacSynCom	5
B107_4.8	0.055	BacSynCom	5
B107_4.9	0.048	BacSynCom	5
B107_4.10	0.059	BacSynCom	5
CK1	0	Infection without BXL	6
CK2	0	Infection without BXL	6
CK3	0	Infection without BXL	6
CK4	0	Infection without BXL	6
CK5	0	Infection without BXL	6
CK6	0	Infection without BXL	6
CK7	0	Infection without BXL	6
CK8	0	Infection without BXL	6
CK9	0	Infection without BXL	6
CK10	0	Infection without BXL	6
CK11	0	Infection without BXL	6
CK12	0	Infection without BXL	6
CK13	0	Infection without BXL	6
CK14	0	Infection without BXL	6
CK15	0	Infection without BXL	6
CK16	0	Infection without BXL	6
CK17	0	Infection without BXL	6
CK18	0	Infection without BXL	6
CK19	0	Infection without BXL	6
CK20	0	Infection without BXL	6
CK21	0	Infection without BXL	6
CK22	0	Infection without BXL	6
CK23	0	Infection without BXL	6
CK24	0	Infection without BXL	6
CK25	0	Infection without BXL	6
CK26	0	Infection without BXL	6
CK27	0	Infection without BXL	6
CK28	0	Infection without BXL	6
CK29	0	Infection without BXL	6
CK30	0	Infection without BXL	6
CK31	0	Infection without BXL	6
CK32	0	Infection without BXL	6
CK33	0	Infection without BXL	6
CK34	0	Infection without BXL	6
CK35	0	Infection without BXL	6
CK36	0	Infection without BXL	6
CK37	0	Infection without BXL	6
CK38	0	Infection without BXL	6
CK39	0	Infection without BXL	6
CK40	0	Infection without BXL	6
