,TH1-L,LC4-L,ZZ5-L,S6-L,ZZ6-L,LC5-L,S3-L,S5-L,ZZ2-L,S1-L,ZZ4-L,ZZ3-L,TY5-L,ZZ1-L,YL4-L,S2-L,YL5-L,BJ3-L,LC3-L,TY6-L,YL6-L,YL1-L,BJ1-L,YL2-L,BJ2-L,LC2-L,S4-L,BJ5-L,YL3-L,BJ6-L,BJ4-L,LC6-L,TY3-L,TH5-L,TY2-L,TH6-L,TY1-L,TY4-L,TH2-L,TH4-L,LC1-L,TH3-L
TH1-L,0,0.20414,0.224071,0.222803,0.21497,0.269922,0.230489,0.272389,0.218295,0.253243,0.212033,0.227717,0.242064,0.220604,0.222825,0.217622,0.235521,0.195711,0.270373,0.230584,0.23812,0.233931,0.182876,0.229552,0.189584,0.212422,0.296799,0.202933,0.23079,0.217911,0.197236,0.204157,0.233234,0.244089,0.233932,0.153598,0.238687,0.244513,0.140629,0.21233,0.290798,0.168527
LC4-L,0.20414,0,0.241647,0.20845,0.223042,0.271049,0.222044,0.239247,0.216927,0.252726,0.207398,0.24066,0.261538,0.222312,0.239606,0.232622,0.236259,0.23915,0.271581,0.231078,0.253539,0.245763,0.21931,0.238844,0.229644,0.200382,0.269624,0.219422,0.243758,0.236349,0.225005,0.195301,0.233778,0.269358,0.250947,0.236378,0.255198,0.255119,0.204021,0.18724,0.267861,0.216088
ZZ5-L,0.224071,0.241647,0,0.247035,0.11621,0.298177,0.212387,0.280396,0.113033,0.307526,0.130114,0.071776,0.211311,0.130384,0.20676,0.189583,0.214642,0.199329,0.298535,0.220694,0.216448,0.216746,0.20283,0.218171,0.202503,0.213335,0.298041,0.224969,0.205762,0.223328,0.19761,0.208316,0.214745,0.299208,0.207378,0.237396,0.214727,0.210896,0.222506,0.250877,0.30052,0.254957
S6-L,0.222803,0.20845,0.247035,0,0.241485,0.301333,0.190044,0.246771,0.224248,0.289941,0.228689,0.244259,0.213485,0.24451,0.214462,0.214218,0.202505,0.253205,0.301798,0.222196,0.206399,0.209526,0.237475,0.211131,0.246358,0.170064,0.237082,0.247713,0.210141,0.230235,0.235701,0.192171,0.193724,0.318188,0.216163,0.271714,0.209984,0.215719,0.223752,0.140192,0.237477,0.263931
ZZ6-L,0.21497,0.223042,0.11621,0.241485,0,0.283046,0.205723,0.259177,0.156727,0.280208,0.116118,0.116429,0.220568,0.096859,0.209441,0.194892,0.217642,0.209862,0.283493,0.215871,0.223744,0.219106,0.201839,0.217825,0.203224,0.209329,0.284937,0.209565,0.214872,0.228077,0.189052,0.205491,0.217089,0.282819,0.217623,0.230275,0.224027,0.218323,0.211128,0.242128,0.284041,0.231604
LC5-L,0.269922,0.271049,0.298177,0.301333,0.283046,0,0.282358,0.259763,0.267761,0.272372,0.266798,0.30329,0.332491,0.271181,0.312444,0.27806,0.292333,0.280454,0.003518,0.27768,0.324069,0.311879,0.271814,0.30182,0.278745,0.285042,0.307812,0.270121,0.318609,0.262105,0.270081,0.273115,0.300891,0.255327,0.322353,0.259387,0.325096,0.325183,0.276823,0.3082,0.302804,0.265217
S3-L,0.230489,0.222044,0.212387,0.190044,0.205723,0.282358,0,0.232346,0.193508,0.266224,0.198557,0.210333,0.220508,0.209281,0.217115,0.137287,0.195523,0.233144,0.282792,0.215116,0.212468,0.218907,0.218545,0.224631,0.219596,0.200786,0.238153,0.224848,0.213543,0.22331,0.207551,0.21471,0.197861,0.29418,0.216676,0.250923,0.215628,0.214391,0.224638,0.203822,0.239921,0.238974
S5-L,0.272389,0.239247,0.280396,0.246771,0.259177,0.259763,0.232346,0,0.239702,0.251369,0.240659,0.275329,0.301282,0.249587,0.282609,0.254075,0.259662,0.279334,0.260255,0.256311,0.290528,0.273952,0.255939,0.269936,0.264974,0.244892,0.224712,0.2539,0.285471,0.247638,0.250337,0.246971,0.257375,0.273,0.291974,0.274583,0.292608,0.285855,0.26657,0.250777,0.240737,0.249637
ZZ2-L,0.218295,0.216927,0.113033,0.224248,0.156727,0.267761,0.193508,0.239702,0,0.271366,0.16161,0.091498,0.217535,0.138888,0.211287,0.183412,0.196121,0.205304,0.268276,0.203435,0.216719,0.217744,0.203002,0.211651,0.204497,0.201651,0.254396,0.214642,0.210654,0.214046,0.198301,0.200635,0.196512,0.272136,0.213219,0.22885,0.218599,0.208924,0.218622,0.230343,0.259238,0.231936
S1-L,0.253243,0.252726,0.307526,0.289941,0.280208,0.272372,0.266224,0.251369,0.271366,0,0.268298,0.304809,0.333677,0.271128,0.314227,0.280624,0.289195,0.259851,0.272792,0.277079,0.329575,0.315649,0.233519,0.30167,0.247623,0.289401,0.293737,0.233021,0.321558,0.262616,0.249804,0.288436,0.297165,0.255841,0.325269,0.257023,0.329445,0.321393,0.2709,0.292462,0.286101,0.240734
