"bin.id.strict"	"bin.id.united"	"bin.id.new"	"kingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"Confidence"	"ASVs"
"ed883ded07c5ecc2db6469af488fd847"	1	1991	"2"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"uncultured"	"s__uncultured_bacterium"	0.991470935	"ASV4187"
"921bf81525030a362f18fa4fca65c4b5"	2	1965	"1"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Thermotunica"	"s__Thermotunica_guangxiensis"	0.998246091	"ASV1153"
"e90a825c735198f275bd5b672c201be9"	3	1965	"1"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Pseudonocardia"	NA	0.998378657	"ASV1193"
"95020c2697f8216e90ca1e480affe831"	4	1965	"1"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Pseudonocardia"	NA	0.994890838	"ASV2806"
"bf26738dc3302b5dd22f325f9a931f45"	5	1965	"1"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Pseudonocardia"	NA	0.998816047	"ASV1784"
"8d1e176968f8ccbacc8a11fac0ecaa18"	6	1965	"1"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Actinophytocola"	"s__Actinophytocola_sp."	0.808394468	"ASV3692"
"40b595b45940c9e84956133e99a32d16"	7	1965	"1"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Pseudonocardia"	NA	0.996973228	"ASV1593"
"1c9de118c7022f2bbdf6d6d9095e46a5"	8	1965	"1"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Pseudonocardia"	NA	0.999176623	"ASV1734"
"87827882cb23263168ea9823afdbafe6"	9	1965	"1"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Pseudonocardia"	NA	0.997027336	"ASV2552"
"95105ab84cb97c9006ed72d95d60e95c"	10	1965	"1"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Pseudonocardia"	NA	0.999565242	"ASV638"
"b26c7fb2d0148811d0ad76d7187138e0"	11	1965	"1"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Pseudonocardia"	NA	0.999037774	"ASV1289"
"2f8f06b8ec8aafef35db4513a6712a16"	12	1965	"1"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Pseudonocardia"	NA	0.999729518	"ASV298"
"399a3348ee68938fff3a3b7d3af5579f"	13	1965	"1"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Pseudonocardia"	NA	0.99984137	"ASV726"
"89e2fd271df8cbe6e061398179b7b363"	14	1965	"1"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Pseudonocardia"	NA	0.982303016	"ASV2621"
"202def9382fd361519721262f2af0899"	15	1965	"1"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Pseudonocardia"	NA	0.975492593	"ASV2143"
"3f157e988763378d0142003759ed832a"	16	1965	"1"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Pseudonocardia"	NA	0.997808373	"ASV262"
"6a25fbef6e4e4ae1f7463d688c72f593"	17	1965	"1"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Pseudonocardia"	NA	0.991556311	"ASV1435"
"39187ccb008c2351f7a562fbeaa67554"	18	1965	"1"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Pseudonocardia"	NA	0.988228928	"ASV2316"
